
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:58697  [2408:8719:3000:0:3::1e]:443  ESTABLISHED     11692
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:58756  [240e:97d:10:2500::17]:443  ESTABLISHED     27256
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:58757  [240e:97d:10:2500::17]:443  ESTABLISHED     27256
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:58762  [240e:97d:10:2500::17]:443  ESTABLISHED     25376
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:58763  [240e:97d:10:2500::17]:443  ESTABLISHED     25376
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:58953  [2409:8c3c:900:110:8000:0:b00:118]:443  ESTABLISHED     20964
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:59029  [2408:874f:8000:7::15]:443  ESTABLISHED     20964
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:59044  [2408:871a:3000:1::30a]:443  ESTABLISHED     20964
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:59117  [2402:4e00:a2:ff::5]:443  ESTABLISHED     20964
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:59363  [240e:97d:10:2500::18]:443  TIME_WAIT       0
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:59375  [240e:97d:10:2500::18]:443  TIME_WAIT       0
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:59390  [240e:97d:10:2500::18]:443  TIME_WAIT       0
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:59396  [240e:97d:10:2500::18]:443  TIME_WAIT       0
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:59416  [240e:97d:10:2500::18]:443  ESTABLISHED     17124
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:62353  [2603:1046:c07:c63::2]:443  ESTABLISHED     39548
  UDP    0.0.0.0:53             *:*                                    3752
  UDP    0.0.0.0:123            *:*                                    37992
